,Molecule ChEMBL ID,Standard Value,Smiles,Receptor_class,MW,LogP,NumHAcceptors,NumHDonors,pIC50
663,CHEMBL3133818,1640.0,CC(=O)c1ccc2[nH]c3nccc(Nc4cccc(N)c4)c3c2c1,intermediate,316.3640000000001,4.244500000000001,4.0,3.0,5.785156151952302
664,CHEMBL1421,710.0,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,active,488.01700000000034,3.3135400000000015,9.0,3.0,6.1487416512809245
665,CHEMBL3924346,100.0,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(NC(=O)CCCCC(=O)NO)cc3)cc12)c1ccccc1,active,472.5490000000002,4.802300000000003,6.0,5.0,7.0
666,CHEMBL3984573,100.0,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(C(=O)NCCNCCC(=O)NO)cc3)cc12)c1ccccc1,active,487.5640000000002,3.012900000000002,7.0,6.0,7.0
667,CHEMBL598797,188.0,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,active,434.4960000000003,4.198000000000002,7.0,3.0,6.72584215073632
668,CHEMBL2316784,1320.0,COc1ccc(-c2csc(N3N=C(c4ccc(Br)cc4)CC3c3ccc4c(c3)OCCO4)n2)cc1,intermediate,548.4620000000002,6.708100000000005,7.0,0.0,5.87942606879415
669,CHEMBL3114688,290.0,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2)CCO4)c1,active,453.54600000000045,4.122200000000004,6.0,1.0,6.5376020021010435
670,CHEMBL3114687,250.0,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(CC)CC)CCO4)c1,active,441.53500000000037,3.978100000000003,6.0,1.0,6.6020599913279625
671,CHEMBL601828,4500.0,O=C(Nc1ccccc1)N(Cc1ccc(O)cc1)Cc1cc(Br)cc(Br)c1O,intermediate,506.194,5.857100000000004,3.0,3.0,5.346787486224656
672,CHEMBL4783947,10.4,O=C(CNCCO)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,active,495.9420000000003,4.2653000000000025,7.0,4.0,7.982966660701219
673,CHEMBL4578487,90.0,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCc1cn(Cc2ccccc2)nn1,active,529.9630000000002,5.509200000000004,8.0,2.0,7.045757490560675
